name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
istanbul,2024-06-01,30.1,19,24.4,29,19,24.2,14,55.2,0,0,0,,0,0,25.6,10.3,235.6,1016.8,0.3,11.2,346,29.8,9,,2024-06-01T05:34:00,2024-06-01T20:30:24,0.82,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-02,30.5,20.2,25.4,30.5,20.2,25.3,14.4,51.8,0,0,0,,0,0,22.7,14.5,256.6,1016.6,11.8,11.3,326,28.1,9,,2024-06-02T05:33:35,2024-06-02T20:31:07,0.85,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-03,33.4,20.7,26.8,34.3,20.7,26.9,15.8,52.2,0,0,0,,0,0,29.9,15.1,41.7,1014.4,10.4,10.8,328.5,28.5,9,,2024-06-03T05:33:12,2024-06-03T20:31:49,0.89,Clear,Clear conditions throughout the day.,clear-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-04,32.5,21.7,26.7,33.1,21.7,27.1,17,56.2,0,0,0,,0,0,23,12.4,336.5,1010.4,13.8,10.5,239.8,20.7,8,,2024-06-04T05:32:51,2024-06-04T20:32:30,0.92,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2024-06-05,32.1,22.9,27.1,32.1,22.9,27.3,16.8,55.4,0,0,0,,0,0,31,15.7,18.3,1012.2,4.6,11,262.9,22.6,9,,2024-06-05T05:32:32,2024-06-05T20:33:09,0.96,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-06,30.4,22.8,25.8,31.2,22.8,26.2,16.5,57.4,0,0,0,,0,0,36.4,20.2,41.3,1014.2,35.9,10.9,211.7,18.4,8,,2024-06-06T05:32:15,2024-06-06T20:33:47,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-07,30.2,21.8,25.2,30.5,21.8,25.5,17.6,64.1,0,0,0,,0,0,40.3,24.4,50.6,1015.4,31.1,11.2,228.1,19.7,8,,2024-06-07T05:32:01,2024-06-07T20:34:23,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-08,29,21,24.4,29.5,21,24.5,17.8,68.1,0,0,0,,0,0,40.7,23.5,45.4,1012.5,24.8,11.3,289.4,25.2,9,,2024-06-08T05:31:48,2024-06-08T20:34:58,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-09,30,20.6,24.9,30.1,20.6,25.1,17.8,66.6,0,0,0,,0,0,33.1,18.1,49.9,1011.3,10.4,11.1,261.8,22.7,9,,2024-06-09T05:31:37,2024-06-09T20:35:31,0.09,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-10,29.3,20.7,25,30.8,20.7,25.4,18.6,68.3,0,0,0,,0,0,24,15.1,352.6,1010.7,19.2,10.9,253.8,22.1,9,,2024-06-10T05:31:28,2024-06-10T20:36:03,0.12,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-11,34.7,22.3,28.2,34.6,22.3,28.2,17.5,55.7,0,0,0,,0,0,26.6,13.6,247.1,1009,14.3,11.3,240.9,20.5,8,,2024-06-11T05:31:21,2024-06-11T20:36:33,0.16,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-06-12,33.8,24.8,28.4,36.4,24.8,29.6,19.5,59.3,0,0,0,,0,0,31.3,19.2,343.9,1011,3.7,11.2,324.1,27.9,9,,2024-06-12T05:31:16,2024-06-12T20:37:01,0.19,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
